C1/3,a_mm
3.18E-05,53.26807468
3.22E-05,53.60871292
3.25E-05,53.62493379
3.27E-05,53.86824682
3.29E-05,53.68981727
3.31E-05,53.6735964
3.32E-05,54.19266419
3.33E-05,53.91690943
3.35E-05,54.19266419
3.36E-05,54.20888506
3.37E-05,54.27376854
3.38E-05,54.35487288
3.39E-05,54.22510593
3.41E-05,53.85202595
3.41E-05,54.38731462
3.42E-05,54.32243114
3.43E-05,54.5008607
3.44E-05,54.51708157
3.44E-05,54.32243114
3.44E-05,54.84149894
3.46E-05,55.00370763
3.46E-05,54.89016155
3.47E-05,54.85771981
3.47E-05,54.63062765
3.48E-05,54.77661547
3.48E-05,54.8090572
3.49E-05,54.92260328
3.50E-05,54.95504502
3.50E-05,55.47411282
3.50E-05,55.26324153
3.51E-05,55.21457892
3.50E-05,55.328125
3.51E-05,55.18213718
3.52E-05,55.03614936
3.52E-05,55.14969544
3.52E-05,55.03614936
3.53E-05,55.39300847
3.53E-05,55.29568326
3.53E-05,55.37678761
3.54E-05,55.70120498
3.54E-05,55.37678761
3.55E-05,55.42545021
3.55E-05,55.34434587
3.56E-05,55.49033369
3.55E-05,55.73364672
3.56E-05,55.55521716
3.57E-05,55.47411282
3.58E-05,55.5876589
3.57E-05,55.65254237
3.56E-05,55.73364672
3.57E-05,55.5876589
3.58E-05,55.78230932
3.58E-05,55.81475106
3.58E-05,55.71742585
3.58E-05,55.66876324
3.58E-05,55.8471928
3.59E-05,55.5876589
3.59E-05,55.71742585
3.60E-05,55.71742585
3.59E-05,55.52277542
3.59E-05,55.47411282
3.60E-05,55.5876589
3.61E-05,55.81475106
3.60E-05,55.5876589
3.61E-05,55.60387977
3.61E-05,55.81475106
3.61E-05,55.65254237
3.61E-05,55.92829714
3.62E-05,55.8958554
3.63E-05,55.74986758
3.63E-05,55.60387977
3.63E-05,55.53899629
3.62E-05,55.91207627
3.63E-05,55.60387977
3.63E-05,55.87963453
3.63E-05,55.5876589
3.63E-05,55.86341366
3.64E-05,55.71742585
3.64E-05,55.78230932
3.64E-05,55.92829714
3.64E-05,55.57143803
3.64E-05,55.97695975
3.64E-05,55.8471928
3.65E-05,55.70120498
3.65E-05,55.87963453
3.65E-05,55.66876324
3.65E-05,55.92829714
3.65E-05,55.8958554
3.66E-05,55.83097193
3.66E-05,55.8471928
3.65E-05,55.65254237
3.66E-05,55.92829714
3.66E-05,55.96073888
3.65E-05,56.00940148
3.66E-05,56.00940148
3.66E-05,55.97695975
3.67E-05,56.00940148
3.66E-05,56.12294756
3.66E-05,55.8958554
3.67E-05,56.07428496
3.68E-05,55.94451801
3.70E-05,56.12294756
3.71E-05,56.38248146
3.72E-05,56.00940148
3.73E-05,55.96073888
3.74E-05,56.59335275
3.75E-05,56.9826536
3.75E-05,56.43114407
3.76E-05,56.73934057
3.77E-05,57.03131621
3.78E-05,57.09619968
3.78E-05,57.07997881
3.78E-05,56.85288665
3.78E-05,57.12864142
3.79E-05,57.20974576
3.79E-05,57.11242055
3.79E-05,57.03131621
3.80E-05,57.12864142
3.80E-05,56.96643273
3.82E-05,57.01509534
3.82E-05,57.17730403
3.83E-05,57.04753708
3.83E-05,57.17730403
3.84E-05,56.95021186
3.83E-05,57.03131621
3.84E-05,57.14486229
3.85E-05,57.17730403
3.85E-05,57.16108316
3.85E-05,57.22596663
3.85E-05,57.2421875
3.86E-05,57.37195445
3.86E-05,57.2421875
3.85E-05,57.20974576
3.86E-05,57.43683792
3.87E-05,57.46927966
3.88E-05,57.56660487
3.87E-05,57.45305879
3.87E-05,57.63148835
3.88E-05,57.5017214
3.89E-05,57.63148835
3.88E-05,57.550384
3.89E-05,57.43683792
3.88E-05,57.45305879
3.90E-05,57.48550053
3.89E-05,57.5017214
3.90E-05,57.63148835
3.90E-05,57.43683792
3.90E-05,57.51794227
3.90E-05,57.51794227
3.92E-05,57.69637182
3.91E-05,57.68015095
3.91E-05,57.48550053
3.92E-05,57.51794227
3.92E-05,57.74503443
3.92E-05,57.69637182
3.93E-05,57.71259269
3.92E-05,57.45305879
3.92E-05,57.74503443
3.94E-05,57.66393008
3.93E-05,57.8099179
3.92E-05,57.63148835
3.91E-05,57.550384
3.90E-05,57.95590572
3.93E-05,58.02078919
3.93E-05,57.87480138
3.95E-05,57.79369703
3.95E-05,58.16677701
3.94E-05,57.95590572
3.94E-05,57.66393008
3.94E-05,58.42631091
3.93E-05,57.92346398
3.95E-05,57.74503443
3.93E-05,57.45305879
3.94E-05,57.82613877
3.95E-05,57.85858051
3.95E-05,57.98834746
3.93E-05,57.92346398
3.96E-05,58.24788136
3.95E-05,58.23166049
