C1/3,a_mm
3.17512E-05,53.27
3.21796E-05,53.61
3.25215E-05,53.62
3.27104E-05,53.87
3.29488E-05,53.69
3.31019E-05,53.67
3.3187E-05,54.19
3.33384E-05,53.92
3.34766E-05,54.19
3.35964E-05,54.21
3.374E-05,54.27
3.38498E-05,54.35
3.3911E-05,54.23
3.40527E-05,53.85
3.41447E-05,54.39
3.42402E-05,54.32
3.43388E-05,54.50
3.43829E-05,54.52
3.44481E-05,54.32
3.44448E-05,54.84
3.45888E-05,55.00
3.45684E-05,54.89
3.46695E-05,54.86
3.46885E-05,54.63
3.48473E-05,54.78
3.48251E-05,54.81
3.48697E-05,54.92
3.49581E-05,54.96
3.50265E-05,55.47
3.49831E-05,55.26
3.50548E-05,55.21
3.5039E-05,55.33
3.51011E-05,55.18
3.51791E-05,55.04
3.52499E-05,55.15
3.52094E-05,55.04
3.52515E-05,55.39
3.52558E-05,55.30
3.52884E-05,55.38
3.5439E-05,55.70
3.54221E-05,55.38
3.54523E-05,55.43
3.55003E-05,55.34
3.55909E-05,55.49
3.55287E-05,55.73
3.55728E-05,55.56
3.57329E-05,55.47
3.5769E-05,55.59
3.56745E-05,55.65
3.56302E-05,55.73
3.57099E-05,55.59
3.58182E-05,55.78
3.58104E-05,55.81
3.58011E-05,55.72
3.57938E-05,55.67
3.57758E-05,55.85
3.59459E-05,55.59
3.59034E-05,55.72
3.59668E-05,55.72
3.5899E-05,55.52
3.59234E-05,55.47
3.59762E-05,55.59
3.60871E-05,55.81
3.60473E-05,55.59
3.61279E-05,55.60
3.6131E-05,55.81
3.61201E-05,55.65
3.61211E-05,55.93
3.61548E-05,55.90
3.62505E-05,55.75
3.62554E-05,55.60
3.62582E-05,55.54
3.6244E-05,55.91
3.62851E-05,55.60
3.6278E-05,55.88
3.63393E-05,55.59
3.62891E-05,55.86
3.63622E-05,55.72
3.63537E-05,55.78
3.63961E-05,55.93
3.64254E-05,55.57
3.64046E-05,55.98
3.63942E-05,55.85
3.64865E-05,55.70
3.6492E-05,55.88
3.6482E-05,55.67
3.64592E-05,55.93
3.65283E-05,55.90
3.6575E-05,55.83
3.65744E-05,55.85
3.65214E-05,55.65
3.65857E-05,55.93
3.65928E-05,55.96
3.65387E-05,56.01
3.65926E-05,56.01
3.66035E-05,55.98
3.66635E-05,56.01
3.65891E-05,56.12
3.66356E-05,55.90
3.66773E-05,56.07
3.68156E-05,55.94
3.69673E-05,56.12
3.7122E-05,56.38
3.71802E-05,56.01
3.72999E-05,55.96
3.74368E-05,56.59
3.7493E-05,56.98
3.75269E-05,56.43
3.75699E-05,56.74
3.77372E-05,57.03
3.78428E-05,57.10
3.7817E-05,57.08
3.78058E-05,56.85
3.77939E-05,57.13
3.79118E-05,57.21
3.79001E-05,57.11
3.79134E-05,57.03
3.79959E-05,57.13
3.79956E-05,56.97
3.81579E-05,57.02
3.81811E-05,57.18
3.82506E-05,57.05
3.83046E-05,57.18
3.83714E-05,56.95
3.83442E-05,57.03
3.83821E-05,57.14
3.84504E-05,57.18
3.84817E-05,57.16
3.85226E-05,57.23
3.8517E-05,57.24
3.85763E-05,57.37
3.85963E-05,57.24
3.85443E-05,57.21
3.8596E-05,57.44
3.86703E-05,57.47
3.87753E-05,57.57
3.87451E-05,57.45
3.87347E-05,57.63
3.87613E-05,57.50
3.891E-05,57.63
3.87617E-05,57.55
3.88807E-05,57.44
3.88157E-05,57.45
3.90144E-05,57.49
3.89229E-05,57.50
3.90223E-05,57.63
3.89593E-05,57.44
3.89718E-05,57.52
3.89792E-05,57.52
3.91818E-05,57.70
3.91226E-05,57.68
3.91034E-05,57.49
3.92212E-05,57.52
3.91778E-05,57.75
3.91899E-05,57.70
3.92983E-05,57.71
3.9244E-05,57.45
3.92115E-05,57.75
3.93908E-05,57.66
3.92706E-05,57.81
3.91511E-05,57.63
3.91113E-05,57.55
3.89992E-05,57.96
3.92689E-05,58.02
3.93265E-05,57.87
3.94772E-05,57.79
3.94654E-05,58.17
3.94049E-05,57.96
3.93797E-05,57.66
3.937E-05,58.43
3.93072E-05,57.92
3.95261E-05,57.75
3.93378E-05,57.45
3.93974E-05,57.83
3.95476E-05,57.86
3.95111E-05,57.99
3.93274E-05,57.92
3.95853E-05,58.25
3.95083E-05,58.23
